loss,acc,f1,auc
1.319878876209259,0.8095,0.8,0.9091
1.2331007421016693,0.85,0.8235,0.86
1.158713921904564,0.95,0.9524,0.9596
1.4825592637062073,0.7143,0.6667,0.9167
1.4229197204113007,0.8696,0.8235,0.9385
