loss,acc,f1,auc
1.9248,0.7619,0.7826,0.7091
1.1335,0.85,0.8571,0.9
1.3909,0.75,0.7826,0.8485
1.7824,0.7619,0.7826,0.7315
1.037,0.8696,0.8571,0.9231
